nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
Nu este transparent si nu avem certitudinea faptului ca banii pe care noi ii platim la stat sunt folositi in scopuri publice,As oferii transparenta cheltuielilor si as scadea toate taxele si impozitele.,"In momentul actual teoretic acesta ofera multe, dar practic lasa de dorit. ",0,0,0,este transparent avem certitudin fapt ban car plat stat sunt folos scopur public,ofer transparent cheltuiel scad toat tax impoz,moment actual teoret acest ofer mult practic las dorit
Lipsa transparentei si a informatiilor cu privire la cheltuirea banului public,"In primul rand as schimba regimul impozitelor , in ceea ce priveste impozitarea imobilelor si mobilelor, cu cat numarul acestora ar creste sa creasca in aceiasi masura si cota impozitului asupra bazei impozabile.
","In primul rand prin intermediul sistemului fiscal beneficiem de activitatea serviciilor de aparare, justitie,administrare si alte institutii.",0,0,1,lips transparente inform priv cheltu ban public,prim rand schimb reg impoz cee privest impozit imobil mobil numar acestor crest creasc aceias masur cot impoz asupr baze impoz,prim rand prin intermed sist fiscal benefic activ servic apar justit administr alte instit
"In momentul de fata tot, deoarece nu imi ofera nici in prezent si nici pe viitor siguranta.","in primul rand tot, deoarece nu exista principii si ar trebui transparenta si multa gandire in realigarea sistemului fiscal.","acum, nimic.",1,0,0,moment fat deoarec ofer nic prezent nic viitor sigur,prim rand deoarec exist princip treb transparent mult gand realig sist fiscal,acum nimic
Neexista unei corelatii si a unei continuitati a activitatii acestuia,probabil primul lucru aparate performante si un soft nou,- ,0,0,1,neexist une corel une continu activ acestui,probabil prim lucru apar perform soft,
"Nu sunt in masura sa vorbesc despre aceasta tema, aproape ca nici nu-mi pot da cu parerea... dar din cele auzite sistemul fiscal romanesc nu e de buna ""calitate"".",Nu am cunostintele necesare ca sa raspund la aceasta intrebare!,"Intr-un sens abstract sistemul fiscal actual imi ofera ""neincredere"" si ""nesiguranta"".",0,1,1,sunt masur vorb despr aceast tem aproap nic nu m parer cel auzit sist fiscal roman bun calitat,cunostint neces raspund aceast intreb,intr un sens abstract sist fiscal actual ofer neincred nesigur
Evaziunea  fiscală ,Amenzile si modulul de aplicarea ,Nu oferă o dezvoltare afacerilor mici,0,1,0,evaziun fiscal,amenz modul aplic,ofer dezvolt afacer mic
Taxe mari si facilitati reduse,Reducerea taxelor fiscale si imbunatatirea sistemului privat,Nimic concret!,0,0,0,tax mar facil redus,reduc tax fiscal imbunatat sist privat,nimic concret
-,-,Taxe de platit!!!,1,1,0,,,tax platit
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte (TVA, accize, taxe vamale etc.), în timp ce, în Uniunea Europeană, contribuțiile celor trei mari categorii de impozite si taxe (impozite directe, indirecte si contribuțiile sociale) la formarea veniturilor sunt relativ apropiate.","Politica fiscală din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate, iar povara administrativă de pe umerii contribuabililor trebuie redusă prin eficientizarea şi informatizarea sistemului de administraţie fiscală pentru a ajunge la un aparat fiscal rapid şi flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii la propulsarea României în topurile internaţionale ale competitivităţii.","Sistemul fiscal actual ofera tot ce omul are nevoie. Si o face foarte bine pe ""hartie"", unde exista reguli peste reguli, beneficii peste beneficii. In realitate chiar dacă ai vrea să scapi de ele, nu ai avea unde să te ascunzi în ziua de astăzi. Probabil că şi în jungla amazoniană există un ochi care-ţi urmăreşte mişcările şi o minte care se gândeşte cum să tragă un folos de pe urma muncii tale. Fireşte, toate aceste datorii pe care le ai doar pentru faptul că ai venit pe lume sunt justificate. Mai precis, cineva se ocupă să-ţi explice că e mai bine aşa. Că este spre binele tău să plăteşti, fiindcă altfel ţi-ar fi mult mai rău. De ce să plăteşti? Păi, în primul rând, pentru ordine socială. Adică pentru instituţiile care se ocupă să te protejeze, atât de duşmanii din afară ai - cum altfel?!? - statului, cât şi de cei dinlăuntrul graniţelor. ",1,1,1,roman venitur fiscal buget sunt dependent venitur tax impoz indirect acciz tax vamal timp uniun european contribut celor tre mar categor impoz tax impoz direct indirect contribut social form venitur sunt relat aprop,polit fiscal roman nevoi mult stabil transparent predict povar administr umer contribu trebui redus prin eficientiz informatiz sist administr fiscal pentru ajung apar fiscal rapid flexibil car duc imbunatat contribut fiscal propuls roman topur international compet,sist fiscal actual ofer om nevoi fac foart bin hart unde exist regul pest regul benef pest benef realitat chiar dac vre scap ave unde ascunz ziu astaz probabil jungl amazonian exist ochi care t urmar miscar mint car gand trag folos urma munc tal firest toat acest dator car doar pentru fapt venit lum sunt justific precis cinev ocup sa t explic bin este spre bin plat fiindc altfel ti-ar mult plat prim rand pentru ordin social adic pentru institut car ocup protej atat dusman afar altfel stat dinlauntr granit
" Sistemul fiscal din Romania are nevoie urgenta de o reforma serioasa, altfel nu vom putea avea pretentia sa ne consideram un stat european.","Reducerea interactiunii  contribuabil – functionar public se poate face numai prin informatizarea totala a sistemelor de raportare fiscala si a cererilor facute catre ANAF, chiar daca asta presupune micsorarea numarului de functionari publici. Dispunem de semnatura electronica extinsa care poate fi folosita pentru a reduce la minim interactiunea la ghiseu, cel putin pentru persoanele juridice.",-,0,0,1,sist fiscal roman nevoi urgent reform serioas altfel put ave pretent consider stat european,reduc interactiun contribu functionar public poat fac numa prin informatiz total sistem raport fiscal cerer facut catr anaf chiar dac asta presupun micsor numar functionar public dispun semnatur electron extins car poat folos pentru reduc min interactiun ghiseu putin pentru persoan jurid,
Lipsa de transparenta in ceea ce priveste modul in care se cheltuiesc banii publici de catre stat.,"As depune eforturi mai mari in vederea reducerii incertitudinii pe care o simt cetatenii romani fata de sistemul fiscal si as investi in imbunatatirea calitatii relatiei dintre cetateni si autoritatile fiscale. Oamenii trebuie informati corect si constant asupra a ,, ceea ce platesc ei de fapt,, si asupra ,,ce au ei de castigat din acest lucru,,.
Eu consider faptul ca in prezent exista o lipsa de transparenta, fapt care genereaza neincrederea cetateanului roman in statul roman si nu numai.","In situatia actuala, si avand in vedere schimbarea Guvernului, eu simt o incertitudine in viitorul sistemului fiscal, in timp ce sistemul fiscal actual duce lipsa de transparenta in ceea ce priveste modul in care sunt cheltuiti banii publici, dovada fiind abuzurile politicienilor.
Astfel, pot spune ca sistemul fiscal actual imi ofera un sentiment de incertitudine si teama de o schimbare brusca sau nejustificata, care ar putea dezechilibra mecanismul fiscal.",0,0,0,lips transparent cee privest mod car cheltui ban public catr stat,depun efortur mar veder reducer incertitudin car simt cetaten roman fat sist fiscal invest imbunatat calitat relat dintr cetaten autor fiscal oamen trebui inform corect constant asupr cee plat fapt asupr castig acest lucru consider fapt prezent exist lips transparent fapt car genereaz neincred cetatean roman stat roman numa,situat actual avand veder schimb guvern simt incertitudin viitor sist fiscal timp sist fiscal actual duc lips transparent cee privest mod car sunt cheltuit ban public dovad fiind abuzur politicien astfel spun sist fiscal actual ofer sentiment incertitudin team schimb brusc nejustific car put dezechilibr mecanist fiscal
Îmi creează sentimentul că plătesc un serviciu public de care nu voi beneficia la un moment dat.,"Reducerea taxelor, cresterea salarilor.",Nu foarte multe.,0,0,0,creeaz sentiment plat serviciu public car benefic moment,reduc tax crest salar,foart mult
Pentru că din banii mei nu se asigură serviciile publice administrative de care avem nevoie într-un stat democratic.,Reducerea taxelor si a impozitelor.,"Sistemul fiscal actual nu imi ofera multe la momentul actual, dar pe viitor as vrea sa imi ofere scutirea de taxe sau impozite aferentă realizării unor investiții.",0,0,1,pentru ban asig servic public administr car avem nevoi intr un stat democrat,reduc tax impoz,sist fiscal actual ofer mult moment actual viitor vre ofer scut tax impoz aferent realizar unor investit
-,-,-,1,1,1,,,
Lipsa stabilitatii si a transparentei.,"Birocratia, plata prin intermediul transferului bancar, cu cardul de credit online sigur si eficient. ",Stimuleaza intr-o oarecare masura activitatea agentilor economici.,0,1,1,lips stabil transparente,birocrat plat prin intermed transfer bancar card credit onlin sigur eficient,stimuleaz intr o oarec masur activ agent econom
"Dupa parerea mea, sistemul fiscal ar trebuie sa aiba in vedere faptul ca nu toti au acelasi venit, deci nu toti pot plati aceleasi taxe. Intradevar exista aceste diferentiei ca si sarcina fiscala, doar ca ar trebui restructurata mai in adancime","Intai de toate, daca aceasta tine de ministerul finantelor, as incerca reducerea, chiar achitarea, datoriilor externe.","cred ca ofera mai putin fata de ceea ce ofera un contribuabil, in raport cu partea care este transferata",0,0,1,dup parer sist fiscal trebui aib veder fapt tot acelas venit dec tot plat aceleas tax intradevar exist acest diferent sarcin fiscal doar treb restructur adancim,inta toat dac aceast tin minister finant incerc reduc chiar achit dator extern,cred ofer putin fat cee ofer contribu raport part car este transfer
Faptul ca banii proveniti din urma impozitelor si taxelor nu sunt cheltuiti cum ar trebui. ,Nu i-as taxa pe cei cu carte de munca in cazul unui accident sau daca au nevoie de analize medicale.,Taxe si impozite,0,0,1,fapt ban proven urma impoz tax sunt cheltuit treb,i as tax cart munc caz unu accident dac nevoi analiz medic,tax impoz
Evaziunea fiscală,Mărimea Impozitelor,nimic,0,1,0,evaziun fiscal,marim impoz,nimic
Neprofesionalismul,Nu cred ca ma pricep la domeniu,Nimic,0,0,0,neprofesionalist,cred pricep domeniu,nimic
Hotia,Buna intrebare..,O oarecare siguranta.,0,1,1,hoti,bun intrebare ,oarec sigur
TVA-ul,Reducerea TVA-ului,Egalitate pentru toți ,0,0,1,tva ,reduc tva ,egal pentru tot
Lipsa transparenței ,O mai clară și fără interpretări a legii actuale.,Nimic,0,1,0,lips transparente,clar far interpretar leg actual,nimic
Nu am nici o nemultumire ,Nu as schimba nimic ,Un echilibru financiar ,1,0,0,nic nemultum,schimb nimic,echilibru financiar
Nu este gândit destul de eficient,Organizarea,Taxe și impozite ,0,1,1,este gandit dest eficient,organiz,tax impoz
Coruptia,Scaderea impozitelor,Absolut nimic ,0,0,0,corupt,scad impoz,absol nimic
-,-,-,1,1,1,,,
-,-,-,1,1,1,,,
Taxele ,Tot,Nimic,0,1,0,tax,,nimic
Prea multe taxe,Impozitarea salariilor in funcție de venit,Nu prea multe beneficii,0,0,0,pre mult tax,impozit salar funct venit,pre mult benef
.,.,.,1,1,1,,,
Stabilitate,Economia,Bunastare,1,1,1,stabil,econom,bunast
Nimic,Nimic,Nimic,0,0,0,nimic,nimic,nimic
Multe,Multe,Nimic,1,1,0,mult,mult,nimic
Multe taxe care sunt puse doar pentru a castiga satul si putinele facilitati pe care le au oamenii din taxele respective,"As schimba sistemul fiscal in privinta tinerilor , pentru ai ajuta pe ei sa fie ""schimbarea"" ",Prea putin in privita asteptarilor ,1,0,0,mult tax car sunt pus doar pentru castig sat putin facil car oamen tax respect,schimb sist fiscal privint tiner pentru ajut schimb,pre putin privit asteptar
Taxe foarte mari,Mai putine taxe,O evidenta clara a obligatiilor,0,0,1,tax foart mar,putin tax,evident clar oblig
schimbarile mai mult negative pentru populație,M-aș gandi si la o situație favorabila atat pentru populatie cat si pentru economie,Instabilitate,0,1,0,schimbar mult negat pentru populat,m as gand situat favor atat pentru populat pentru econom,instabil
Faptul ca nu asigura in totalitate un echilibru financiar.,As reduce unele taxe si as asigura o mai buna dezvoltare economică.,Asigura buna functionare a economiei si asigura indeplinirea nevoilor sociale ale societatii.,0,1,1,fapt asigur total echilibru financiar,reduc une tax asigur bun dezvolt econom,asigur bun function econom asigur indeplin nevo social societ
Nimic,Nimic ,Susținerea dezvoltării economice,0,0,1,nimic,nimic,sustin dezvoltar econom
Dezechilibrul financiar ,As reduce taxele neimportante . ,Asigura nevoile cetatenilor. ,0,0,1,dezechilibr financiar,reduc tax neimport,asigur nevo cetaten
Taxele ,Impozitele ,Bursele,0,1,0,tax,impoz,bur
Posibilitatea creșterii și descresterii Tva-ului,Nimic,Imi ofera un serviciu de protectie,0,0,0,posibil crester descrester tva ,nimic,ofer serviciu protect
Faptul ca trebuie sa platim taxe si unele din ele le platim de doua ori dar in mod indirect.,"As reduce taxele si impozitele, astfel incat sa fie acceptabile pentru toti.",Nimic.,1,1,0,fapt trebui plat tax une plat dou indirect,reduc tax impoz astfel incat accept pentru tot,nimic
Taxe si impozite mari in concordanta cu salariile pe care le avem.,Taxe si impozite mai mici.,Siguranta,0,0,1,tax impoz mar concord salar car avem,tax impoz mic,sigur
"Faptul ca se schimba prea des, nu este foarte stabil si predictibil.","As stabili o rata moderata de taxe si impizite ca sa nu se mai incurajeze munca ""la negru"".","Bursele studentesti, locurile la fara taxa, gratuitate la transportul feroviar",0,0,1,fapt schimb pre este foart stabil predict,stabil rat moder tax impiz incuraj munc negru,bur studentest locur far tax gratuitat transport feroviar
Nu exista stabilitate in sistemul fiscal românesc.,As elabora o lege foarte bună și de durată.,No comment,0,1,0,exist stabil sist fiscal roman,elabor leg foart bun durat,comment
Instabilitatea ,As informa mult mai mult oamenii despre sistemul fiscal,Neincredere,0,1,0,instabil,inform mult mult oamen despr sist fiscal,neincred
Nu are stabilitate si nu este in topul tarilor la capitolul competitie,"Sa fie mult mai transparent si sa fie mai stabil , sa aiba o anumita autoritate care sa se respecte, ducandu-ne astfel pe un loc mult mai sus. ",taxe si impozite ,0,0,1,stabil este top tar capitol competit,mult transparent stabil aib anum autor car respect ducandu n astfel mult,tax impoz
Transparenta,Transparenta,Burse sociale care fac pe cetateni sa nu lucreze,0,0,0,transparent,transparent,bur social car cetaten lucr
Birocrația exagerată ,Simplificarea sistemului fiscal,Servicii publice ,0,1,1,birocrat exager,simplific sist fiscal,servic public
"Se schimbă prea des. Se reduc anumite taxe, dar apar altele și, făcând calcule, putem observa că, la final, avem de plătit taxe și impozite mai mari decât erau înainte de reducere.","Aș încerca să îl fac mai transparent, mai stabil, pentru că un sistem fiscal transparent și stabil încurajează investițiile.","Prea multe nu îmi oferă, pentru că eu plătesc taxe și impozite, dar drumurile sunt cum sunt, sistemul de sănătate e praf, sistemul de învățământ la fel, deci nu îmi oferă prea multe...
Și cu toate că anul 2017 a fost un an extraordinar din punct de vedere economic pentru România, având cea mai mare creștere economică din Uniunea Europeană, conform Eurostat, am reușit să depășim Bulgaria. 1 din 2 români, adică 50% din populație trăiește în sărăcie, pe când în Bulgaria 48% din populație trăiește în sărăcie. Bravo România. ""Aste e, ăștia suntem"".",0,1,0,schimb pre reduc anum tax apar alte facand calcul put observ final avem platit tax impoz mar decat erau inaint reduc,incerc transparent stabil pentru sist fiscal transparent stabil incuraj investit,pre mult ofer pentru plat tax impoz drumur sunt sunt sist sanat praf sist invatamant dec ofer pre mult toat an 17 fost extraordinar punct veder econom pentru roman avand mar crest econom uniun european conform eurost reusit depas bulgar roman adic populat traiest sarac cand bulgar populat traiest sarac bravo roman aste asti sunt
"Tot.  E foarte multă birocrație, iar dacă dorești sa investești, in loc sa te încurajeze statul, îți pune bete in roate.",Corupția ,Incertitudine ,0,0,0,foart mult birocrat dac dorest investest incuraj stat pun bet roat,corupt,incertitudin
Nimic,Nimic,Datorită sistemului fiscal avem parte de finanțarea cheltuielilor publice,0,0,1,nimic,nimic,dator sist fiscal avem part finant cheltuiel public
Modificarile recente,Nu stiu,Siguranta,1,0,1,modificar recent,stiu,sigur
"Faptul că nu este stabil, se poate rectifica de mai multe ori pe an.",Nu cunosc în detaliu sistemul fiscal românesc pentru a propune modificări.,"Fiind studenți, sistemul fiscal actual ne oferă unele beneficii cum ar fi burse, locuri bugetate, gratuitate la transportul feroviar și unele servicii medicale.",0,0,1,fapt este stabil poat rectif mult,cunosc detaliu sist fiscal roman pentru propun modificar,fiind student sist fiscal actual ofer une benef bur locur buget gratuitat transport feroviar une servic medic
că sunt o prelevare fără contracompensație,Nimic,Nimic,0,0,0,sunt prelev far contracompensat,nimic,nimic
Mă nemulțumește repartizarea bugetului făcut de conducere.,Aș verifica mai bine sistemul ajutoarelor sociale și aș micșora salarile parlamentarilor și guvernanților. ,Motive să părăsesc această țară și să nu mă gândesc la o investiție în țară.,0,1,1,nemultumest repartiz buget facut conduc,verif bin sist ajutoar social micsor salar parlamentar guvernant,motiv paras aceast tar gand investit tar
Nu stiu ,Modul de impozitare ,Nu stiu ,0,0,0,stiu,mod impozit,stiu
"La sistemul fiscal romanesc ma nemultumeste: instabilitatea sistemului, netransparenta sistemului.","As adopta măsuri fiscale care să aducă mai mulţi bani la bugetul de stat fără să crească taxele, prin atragerea investitorilor straini pe teritoriul Romaniei pentru creearea unor noi locuri de munca.","In opinia mea, sistemul fiscal actual imi ofera neincredere si nesiguranta de a trai in Romania in viitor.",0,0,0,sist fiscal roman nemultumest instabil sist netransparent sist,adopt masur fiscal car aduc mult ban buget stat far creasc tax prin atrag invest strain terit roman pentru creear unor locur munc,opin sist fiscal actual ofer neincred nesigur tra roman viitor
Dezechilibrul.,Cresterea eficientei in alocarea fondurilor.,Impozitul pe venitul persoanelor fizice mai mic fata de celelalte state din Europa.,0,0,0,dezechilibr,crest eficiente aloc fondur,impoz venit persoan fizic fat celelalt stat europ
Neutru,Reducerea numarului de taxe in urma careia vor scade costurilor administrative,Neutru,0,0,0,neutru,reduc numar tax urma carei scad costur administr,neutru
"LIpsa de profesionalitate, neadaptarea la tehnologie ","Transparenta, Aș îmbunătății sistemul tehnologic și aș încuraja investitorii", Posibilitatea de a contribui la bugetul statului pentru realizarea bunăstării cetățeanului ,0,1,1,lips profesional neadapt tehnolog,transparent imbunatat sist tehnolog incuraj invest,posibil contrib buget stat pentru realiz bunastar cetatean
Taxele,Taxele,Servicii,0,0,1,tax,tax,servic
nu cunosc atât de mulde detalii în cât să mă pot afirma,"valoarea taxelor, impozitelor etc",o datorie față de stat,0,1,1,cunosc atat muld detal afirm,valoar tax impoz,dator fat stat
Nimic,Nimic,Echilibru financiar,0,0,0,nimic,nimic,echilibru financiar
impozitele sunt prea mari ,as crea un echilibru ,nimic,0,0,0,impoz sunt pre mar,cre echilibru,nimic
Este prea ingaduitor cu entitatile care nu.si platesc impozitele si taxele,As incerca sa reduc birocratia,Nesiguranta economica,0,0,0,este pre ingadu entitat car nu s plat impoz tax,incerc reduc birocrat,nesigur econom
Coruptia,"As scadea salariile parlamentarilor, guvernatorilor, as reduce nr acestora. In cazul unei spalari de bani as confisca bunurile pana acopera valoarea respectiva etc",Nesiguranta,0,0,0,corupt,scad salar parlamentar guvern reduc acestor caz une spalar ban confisc bunur pan acoper valoar respect,nesigur
Sunt schimbari prea dese in sistem,Sprijinirea intreprinderilor mici si mijlocii autohtone,Finantarea serviciilor publice,0,1,1,sunt schimbar pre des sist,sprijin intreprinder mic mijloc autohton,finant servic public
Gradul mic de transparenta,As încerca sa construiesc relații de încredere intre stat si cetățeni,Realizează unele obiective economico financiare si sociale,0,0,1,grad transparent,incerc construi relat incred intre stat cetaten,realiz une obiect economico financiar social
Faptul ca nu se susține dezvoltarea infrastructurii ,"As construi un climat de incredere intre cetățean si stat, astfel incat cetățenii sa aiba idee de ce sunt necesare anumite taxe si impozite, as oferi un mediu cat mai transparent si servicii publice de calitate.",Echilibru financiar la nivelul cheltuielilor bugetare.,0,1,0,fapt sustin dezvolt infrastructur,constr climat incred intre cetatean stat astfel incat cetaten aib ide sunt neces anum tax impoz ofer mediu transparent servic public calitat,echilibru financiar nivel cheltuiel buget
"Birocrația excesiva , ajungandu-se astfel la taxe și impozite mul prea mari pentru veniturile populației ","Sistemul fiscal din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate, iar povara administrativă de pe umerii contribuabililor trebuie redusă prin eficientizarea şi informatizarea sistemului de administraţie fiscală pentru a ajunge la un aparat fiscal rapid şi flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii la propulsarea României în topurile internaţionale ale competitivităţii. O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii României, în opinia consultanţilor fiscali.","Sistemul fiscal român fiind format din totalitatea impozitelor plătite de persoanele fizice sau juridice.În opinia mea ne oferă finanțarea unor acțiuni și obiective necesare membrilor societății, acestea fiind formate din plăti către stat 
",0,1,1,birocrat exces ajungandu astfel tax impoz pre mar pentru venitur populat,sist fiscal roman nevoi mult stabil transparent predict povar administr umer contribu trebui redus prin eficientiz informatiz sist administr fiscal pentru ajung apar fiscal rapid flexibil car duc imbunatat contribut fiscal propuls roman topur international compet birocr putin exces reduc numar tax plat aferent incuraj invest chiar diminu cot tax precum facilit unu dialog eficient coerent intre autor fiscal contribu put alte plusur crest compet roman opin consultant fiscal,sist fiscal roman fiind format total impoz platit persoan fizic juridice in opin ofer finant unor actiun obiect neces membr societat acest fiind format plat catr stat
Tot,Tot,Nimic,1,1,0,,,nimic
Nimic,Nimic,Este bun,0,0,1,nimic,nimic,este
Transparenta pe care nu o detine si faptul ca ii dezavantajeaza pe tinerii antreprenori si pe cei care vor lucreaza corect si conform legii in aceasta tara. ,"As adauga pasaje in lege prin care tinerii antreprenori sa fie mult mai avantajati spre exemplu sa se reduca anumite taxe si impozite pe o perioada definita de timp pentru a le oferi sansa de a intra pe piata in care vor sa activeze. As crea o transparenta mult mai ridicata si as ajuta poporul roman mult mai mult decat este ajutat in acest momet, prin reducerea TVA-ului si prin reducerea de impozite pe salar.",O bataie de cap care o sa duca la o iesire in strada a poporului roman pentru toate taxele nejustificate pe care trebuie sa le platim.,0,0,0,transparent car detin fapt dezavantajeaz tiner antreprenor car lucreaz corect conform leg aceast tar,adaug pasaj leg prin car tiner antreprenor mult avantaj spre exemplu reduc anum tax impoz perioad defin timp pentru ofer sans intra piat car activ cre transparent mult ridic ajut popor roman mult mult decat este ajut acest momet prin reduc tva prin reduc impoz salar,batai car duc iesir strad popor roman pentru toat tax nejustific car trebui plat
..,..,..,1,1,1,,,
nu avem un sistem fiscal transparent si nu sprijina destul IMM ,scutirea de taxe si impozite pe o perioada de timp pentru investitorii foarte mari care pot crea locuri de munca si vin cu tehnologii avansate ,cu ultimele schimbari in privinta legii salariale cred ca ofera multa incertitudine,0,1,0,avem sist fiscal transparent sprijin dest,scut tax impoz perioad timp pentru invest foart mar car cre locur munc tehnolog avans,ultim schimbar privint leg salarial cred ofer mult incertitudin
nimic,Scăderea TVA- ului,constituirea fondului național,0,0,1,nimic,scad tva ulu,constitu fond national
Dezechilibrul financiar de care dă dovadă,"Aș schimba direcțiile de repartizare a bugetului public în domenii ce ar fi o investiție pe termen lung din care mai apoi să se genereze noi surse de venituri la bugetul statului. Ca urmare, nu ar mai fi nevoie de noi schimbări in codul fiscal din cauza că veniturile nu acoperă cheltuelile.",Sistemul fiscal actual ne oferă un buget public foarte slab din cauza că majoritatea populației din România preferă să emigreze spre alte țări din Europa unde au un salariu mult mai mare și reușesc să scape de plata impozitelor (evaziune fiscală)  din cauza lipsei de gestionare a schimbului de informații intre state privind contribuabilii și beneficiarii economici.,0,0,0,dezechilibr financiar car dovad,schimb direct repartiz buget public domen investit termen lung car apo gener sur venitur buget stat urmar nevoi schimbar cod fiscal cauz venitur acoper cheltuel,sist fiscal actual ofer buget public foart slab cauz major populat roman prefer emigr spre alte tar europ unde salariu mult mar reus scap plat impoz evaziun fiscal cauz lip gestion schimb informat intre stat priv contribu beneficiar econom
"Mult prea usor se poate evita plata impozitelor .. spre exemplu majoritatea agenților economici fraudează statul român . Probabil ar fi mult mai bine daca in primii 3-5 ani de la înființare ar fi obligați sa plătească mai putin , iar mai apoi sa crească valoarea impozabilă. ","As implementa o strategie modernă pe termen mediu si lung pentru atragerea de noi investiții si crearea a noi locuri de munca, astfel ar creste veniturile la bugetul statului.","Personal , primesc bursă de studiu , învățământ universitar gratuit , transport feroviar gratuit , etc. ",0,1,1,mult pre usor poat evit plat impoz spre exemplu major agent econom fraud stat roman probabil mult bin dac prim infiint obligat plat putin apo creasc valoar impoz,implement strateg modern termen mediu lung pentru atrag investit crear locur munc astfel crest venitur buget stat,personal prim burs studiu invatamant universitar gratuit transport feroviar gratuit
Taxe si impozite foarte mari,Cred ca ar fi multe de schimbat,Plătim impozite de care vom beneficia cândva ,0,0,0,tax impoz foart mar,cred mult schimbat,plat impoz car benefic candv
Nimic nu ma nemultumeste.,Nimic.,"Invatamant, cultura, sanatate, etc",0,0,1,nimic nemultumest,nimic,invatam cultur sanat
Taxele foarte mari,Modul de organizare,Nesiguranta,0,1,0,tax foart mar,mod organiz,nesigur
Birocratia,Aș încerca să iau exemplu statele dezvoltate din UE și să încerc să aplic anumite aspecte și în sistemul fiscal românesc pentru a ușura și stimula munca.,Datorită schimbărilor multiple îmi oferă nesiguranță ,0,0,1,birocrat,incerc exemplu stat dezvolt incerc aplic anum aspect sist fiscal roman pentru usur stimul munc,dator schimbar multipl ofer nesigurant
Sistemul fiscal românesc este netransparentă.,La sistemul fiscal românesc ar trebui scădere contribuției ai întreprinderi mici și mijlocii.,Pentru că sistemul fiscal actual este complex și dificil vis a vis cu alte țări. ,0,0,1,sist fiscal roman este netransparent,sist fiscal roman treb scad contribut intreprinder mic mijloc,pentru sist fiscal actual este complex dificil alte tar
"România pierde foarte mulți bani, și nu se stie acele bani unde merg. ","Ași avea o singură taxă de plătit (TVA), care va declanșa faptul că toate firmele care lucrează în negru nu vor risca să lucrează ilegal. Așa că și ele vor plâti o anumită contribuție la stat, care predictibil va mări veniturile bugetare. ","La ora actuală, o anumită sumă de bani, care trebuie plătită ca să fie plătită. Contribuțiile nu prea ne ajută la nimic, chiar dacă mergem la spital, noi trebuie să plătim taxele pentru că nu sunt medicamente, nu sunt locuri pentru un scan de exemplu, și teoretic dacă vrem să trăim, plătim. Indiferent că am plătit zeci de ani de zile pentru stat ca și contribuție la asigurare medicală. ",0,0,0,roman pierd foart mult ban stie ace ban unde merg,ave sing tax platit car declans fapt toat firm car lucr negru risc lucr ilegal plat anum contribut stat car predict mar venitur buget,actual anum sum ban car trebui platit platit contribut pre ajut nimic chiar dac merg spital trebui plat tax pentru sunt medicament sunt locur pentru scan exemplu teoret dac vrem tra plat indiferent platit zec zil pentru stat contribut asigur medic
Mă nemulțumește modul în care se stabilesc impozitele pe partea de venituri.,"Dacă aș fii ministru de finanțe publice, aș încerca să mai reduc din taxe și impozite.","Sitemul fiscal actual ne ofera un nivel destul de ridicat al taxelor pe muncă și al
impozitului pe profit.",0,0,1,nemultumest mod car stabil impoz part venitur,dac ministru finant public incerc reduc tax impoz,sit fiscal actual ofer nivel dest ridic tax munc impoz profit
Mulți bani se duc nu unde trebuie.,Scoaterea plății taxei pentru ajutor medical.,"Prea mari prețuri, pe care nu student strain nu și le poate permite.",0,0,0,mult ban unde trebui,scoat plat taxe pentru ajutor medic,pre mar pretur car student strain poat permit
Politica fiscala este destul de dura si aceasta duce la aparitia evaziunii fiscale prin economia subterana.,As oferi mai multa transparenta bugetara si eficietizarea cheltuielilor publice.," Imi ofera protectie sociala, dezvolta infrastructura, locuri de munca.",0,0,1,polit fiscal este dest dur aceast duc aparit evaziun fiscal prin econom subteran,ofer mult transparent bugetar eficietiz cheltuiel public,ofer protect social dezvolt infrastructur locur munc
Nu este transparent,Subvenții fiscale pentru angajatorii care creează locuri de muncă, servicii publice de calitate mijlocie,0,1,1,este transparent,subvent fiscal pentru angaj car creeaz locur munc,servic public calitat mijloc
Irosirea banilor,Taxe,Instabilitate,0,0,0,iros ban,tax,instabil
