1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
lipsa trasparentei,As constitui un climat de icredere intre cetatean si stat.,Obligatia de a plati taxe si impozite.
Taxele și impozitele sunt prea mari.,Daca a-și fi ministrul finanțelor publice aș reduce taxele și impozitele.,"Asigură resursele financiare necesare pentru învățământ, sănătate etc."
-,-,-
Transparenta  și încrederea ,Încrederea cetățenilor și o dezvoltare mai eficienta a sistemului fiscal cât și a investițiilor ,"Impozit pe venit mic, taxe mari, o  birocrație excesiva, dar oferă și speranță"
Gradul de transparentă cu privire la modul in care se cheltuiesc banii publici ,Nu știu. ,Taxe si impozite mari.
"Taxele și impozitele sunt prea mari, iar oamenii nu sunt stimulați sau ajutați sa iși inființeze propria afacere.",Aș schimba sistemul de taxe și impozite și l-aș regândi pentru fiecare categorie de salariat. De asemena aș schimba și modul de administrare al cheltuielilor publice.,"În momentul actual, pot să spun ca sistemul fiscal actual nu-mi oferă nici măcar garanția unei pensii la bătrânețe."
taxele si impozitele ,"scaderea taxelor si impozitelor, cresterea salariilor, mai multe locuri de munca", salariile mici
"Nu functioneaza destul de eficient astfel incat unele intreprinderi reusesc sa se eschiveze de la plata unor tipuri de impozite, de ex : impozitul pe profit","As implimenta niste amenzi destul de ridicate pentru cei ce nu respecta termenul de achitare a impozitelor si cei care se eschiveaza de la plata lor si m-as concentra pe crearea increderii intre stat si cetateni, plus as acorda si unele facilitati pentru cei care isi respecta obligatiile de contribuabil.","bursa, protectie sociala si servicii de interes public general pentru ca prin intermediul sistemului fiscal se gasesc resurse pentru finantarea acestora."
Raportul dintre salarii(mult prea mici)-taxe(mult prea mari și multe) este în defavoarea atât angajatorului cât și angajatului. ,"Scăderea taxelor, impozitelor și aducerea salariilor la standardele UE.","Stabilitate, finanțarea serviciilor publice"
"Pe lângă faptul că, au caracter obligatoriu, ceea ce presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă să participe prin impozite la constituirea fondurilor generale ale statului, ar fi mai ideal ca fiecare cetățean să aibă conformare voluntară la acest sistem fiscal, dar care ar putea fi mai ieftin pentru noi, ca și în alte state și mai bine administrat.","Din punctul meu de vedere taxele pentru că sunt o prelevare fără contracompensație sau fără vreun echivalent direct și imediat din partea statului în favoarea contribuabiluli, aș modifica sistemul spre un ramburs minim, dar motivant pentru contribuabili.","Eu consider că, sistemul fiscal oferă baza financiară pentru exercitarea autorităţii, cu speranța noastră, ca în viitorul apropiat...ne vom apropia de statele fruntașe în segmentul sistemului fiscal."
"Impozitul pe profit mult prea ridicat duce ca antreprenorii sa fie nevoiti sa ""fure"" din proprii lor bani pentru a nu da tot statului care pana in prezent se s-a dovedit a fi ineficient in gestionarea acestei sume de bani provenite din taxa pe profit.","Taxa pe profit
Impozitul pe salarii mai mici de 2000 de lei","Dupa cum vad eu lucrurile, inafara de taxe, cam nimic."
"Birocratia excesiva, numarul mare de taxe si impozite si evaziunea fiscala.","As reduce numarul de taxe si impozite, as incuraja investitiile prin scutire de anumite taxe si as scurta procedurile cu privire la birocratia excesiva.",Ofera servicii de protectie sociala.
"Sistemul fiscal românesc este unul birocratic şi corupt, care are nevoie de mai multă stabilitate, transparenţă şi predictabilitate în politica fiscală. Nu există nicio viziune pe termen lung cu privire la strategia fiscală pe care țara noastră ar trebui să o adopte.","După părerea mea, ar trebui redus numărul taxelor, ceea ce va duce la scăderea costurilor de administrare, adică economii la buget şi ar trebui încurajate investițiile.","După părerea mea, sistemul fiscal actual are nevoie de numeroase imbunătățiri pentru a ne oferii ceva cu adevărat folositor dezvoltării viitorului nostru. Momentan ne poate oferii doar instabilitate din punct de vedere economic şi incertitudine în ceea ce priveşte viitorul ţării noaste."
Instabilitatea ,Să ajungem în punctul în care putem avem încredere în acest sistem.,Nesiguranță
fiscalitatea in tara,trasparenta si increderea,servicii publice
"Un aspect observat de mine este lipsa implementării unei strategii fiscale moderne și predictibile pe termen lung , fiind esențial, în contextul concurentei care exista intre statele europene pentru atragerea de noi investiții și implicit crearea de noi locuri de munca .","Ca prim pas, consider ca este necesara negocierea unui consens la nivel politic privind principiile de echitate și solidaritate sociala ce vor trebui respectate, pentru a avea susținerea parlamentara și populara strict necesara implementării oricăror schimbări în fiscalitate. Cred ca avem nevoie de politici ec",Sistemul fiscal
"Gradul de incertitudine privind sistemul fiscal şi calitatea relaţiei cu autorităţile fiscale adica transparenţa, nivelul de pregătire şi disponibilitatea acestora.","Aș incerca să  reduc numărul de taxe şi a plăţilor aferente, să încurajez investiţiile.  Diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili.",Instabilitate și incertitudine.
Taxe și impozite mari.,"Mai multe finantari din partea statului pentru a infiinta noi firme,cu scopul de a infiinta noi locuri de munca, astfel scade rata somajului, cresc veniturile . ",Nimic.
Nu știm exact cum și unde se folosesc banii colectați din taxe și impozite.,Ași încerca să transparentizez cât mai mult sistemul fiscal și ași scădea puțin taxele și impozitele pentru a scoate economia subterană la suprafeță.,Sistemul de pensii și ajutoare sociale.
Totul,"Daca as fii ministrul finantelor, as tine foarte mult seama de parerea cetatenilor si in functie de parerea majoritatii as face restructurari in sistemul fiscal.",Nimic
transparenta,o distribuire si utilizare mai eficienta a taxelor si impoziltelor colectate,minim de bunastare sociala 
"Consider ca sistemul fiscal este bine gandit si bine pus la punct. Cu toate acestea nu intotdeauna se respecta principiile acestuia. Spre exemplu nu toate magazinele mici au case de marcat spre colectarea TVA , sau politicieni care ne fura banii populatiei si nu sunt prinsi .","As face taxe si impozite mai mari pentru acei politicieni care au salarii prea mari nefacand nimic,as incuraja agricultura prin subventii mai mari , as da mai multe burse studentilor eminenti .","Iluminat gratis(desi in zona unde stau nu am niciuo lumina noaptea), ofera subventii pentru animale si pamant. "
Existenta a mai multor taxe care ar putea fi eliminate sau reduse.,As elimina din taxe.,Sistemul financiar arata felul fondurilor si destinatiile lor.
Faptul că nu ne dă încredere și siguranță.,"L-aș ""reformula"" astfel încât să fie unul care să mulțumească pe toată lumea.",Nimic sigur și stabil.
Se modifică destul de des.,Aș face un sistem fiscal mai stabil și fără prea multă birocrație.,Sistemul fiscal actual încearcă să se apropie de cetățeni și să le ofere o transparență cu privire la cheltuielile statului.
"Numarul ridicat de taxe, impozite si lipsa beneficiilor. Gradul scazut de predictibilitate, schimbarile legislative foarte dese ce deruteaza investitorii si ii inhiba. ","In mare, as incerca sa schimb lucrurile ce am spus ca ma nemultumesc la punctul 11, introducerea cotei unice de impozitare,  m-as axa mai mult pe transparenta, pe increderea contribuabililor si pe explicarea necesitatii taxelor si impozitelor astfel incat acestia sa le plateasca in mod voluntar. Reducerea evazunii fiscale.","Neincredere, teama, frustrare. "
"In primul rand procedura de constiturire a sistemului fiscal ,adica modul de formare in plan teoretic nu se imbina cu planul practic.",Nu cred ca as schimba ceva ci doar as insista mai mult sa se realizeze anumite atributii ce le revin in special persoanelor desemnate .,"In opinia mea sistemul fiscal imi ofera o viziune ampla despre circuitul bancar ,financiar si restul circuitelor ce se invarte in jurul sau."
"Personalul este foarte ""amabil"" 
Isi desfasoara activitatea într-o viteză de melc.
",Nu stiu sincer....,"Servicii publice gratuite
Grădinița copilului meu care ar fi trebui sa fie gratuită dar sincer nu prea simt asta la buzunar :))"
taxele foarte mari,da,nu prea multe
Nimic,Mai putine taxe,Nimic
"Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.",Totul,.
"Legat de sistemul fiscal românesc sunt nemulțumit de birocrația excesivă și lipsa de transparență a acestuia, care generează neîncredere în rândul contribuabililor.","Probabil aș impune o reformă legată modul în care funcționează acest sistem, luând ca model sisteme fiscale din țări puternic dezvoltate.","În momentul de față sistemul nostru fiscal asigură funcționarea statului în condiții relativ normale, dar nu este întru totul eficient."
"Sistemul fiscal românesc trebuie sa fie mai bine organizat, structurat și cat mai stabil.","Dacă aș deține această funcție, aș încerca să schimb anumite taxe și impozite, pe care fiecare cetățean le resimte în bugetul sau personal, în taxe și impozite mai stabile, fixe si cât mai clare pentru ca fiecare cetățean să le înțeleagă. Transparentă totală despre penalizările care se pot aplica pentru toate taxele și impozitele în caz de neplata lor.","În prezent, sistemul fiscal ne ofera doar precizări cu referire la câte taxe și impozite sunt de plată și sumele acestora."
Înca nu pot sa ma exprim in legatura cu asta.,Probabil as schimba cate ceva.. dar pana nu sunt pusa in fapta nu cred ca pit soune ce as schimba.,-
"Impozite si taxe , unele dintre ele nefondate.","Trasparenta sa fie mai accentuata, iar prevederile referitor la plata impozitelor si taxelor sa fie mai clare.","Unele beneficii precum: iluminatul stradal.-pozitive
                                   locuri de parcare insuficiente.- negative "
Instabilitatea acestuia,Ar fi mai multe lucri de schimbat cu privire la sistemul fiscal romanesc,Nu atat de multe 
Ar trebui sa existe mai multa transparenta in ceea ce privește cheltuirea  banilor publici.,"Modul de organizare și perspectivele acestuia, mi-as dori un sistem fiscal care sa încurajeze antreprenori.",Numeroase plăti și puține încasări. 
Nu consider ca banii mei ajuta la asigurarea serviciile publice administrative de care avem nevoie într-un stat democratic.,Realizarea unor investitii publice necesare pentru dezvoltarea economica in tara.,Taxe si impozite de platit.
La sistemul fiscal roman ma nemultumeste faptul ca avem impozite foarte mari fata de alte tari.,Daca as fi ministrul finantelor as scadea impozitul si as elimina anumite taxe ., Sistemul fiscal ofera unui angajat dreptul dreptul de a beneficia de sanatate gratuita 
La ora actuală mă nemulțumește faptul că sistemul fiscal românesc este mult prea dur față de micile întreprinderi.,În primul rând aș face ca sistemul fiscal să fie mai transparent.,Sistemul fiscal ne oferă conducerea activității economice.
"Sistemului fiscal romanesc ii lipseste transparenta si predictibilitatea (desi ii lipsesc si mai multe caracteristici dorite). Atunci cand achiti impozite ai dori sa vezi si calea care o parcurg acesti bani pana la o categorie de beneficiari concreta. Datorita faptului ca in Romania veniturile bugetare ""isi pierd urma"" se pierde si calea acestora drept cheltuieli publice, fapt ce creaza o neincredere in stat.","Sistemul fiscal romanesc (desi ma repet) ar avea nevoie de o transparenta mai mare pentru a crea relatii de incredere cu platitorii de impozite si taxe. Un sistem fiscal sanatos nu ar trebui sa impuna achitarea taxelor prin amenzi si penalitati, ci prin reducerea acestora si prin sinceritatea privind cheltuielile publice. Daca valoarea impozitelor si taxelor nu ii va ingreuna pe platitorii acestora si, mai mult, acestea vor vedea ""pe ce se cheltuie banii lor"" s-ar reduce si invaziunea fiscala.","Aflandu-ma la stadia de studenta straina in RO, am beneficiat de la sistemul fiscal roman de o bursa de student. Desi nu am o vechime in sistemul fiscal din RO vad mai multe caracteristici negative ale acestuia si nu pot spune ca acesta ofera multe avantaje cetatenilor sai."
Taxele si impozitele prea mari precum si lipsa unor subvenții pentru cei care Creează locuri de munca si societăți comerciale noi.,Reducerea birocrației ,Bătăi de cap si profit 0 sau faliment 
"anumite dezechilibre, gradul de incertitudine ca urmare a schimbărilor legislative frecvente ","Aș îmbunătăți măsurile de stimulare a investiţiilor. Măsurile de stimulare a investiţiilor trebuie păstrate pe o perioadă mai lungă de timp şi acestea trebuie făcute cunoscute de către autorităţi, nu doar pe plan intern, ci şi pe plan extern .",Stimulează activitatea economică și oferă protecție socială
Valorile ridicate ale taxelor si impozitelor.,"Daca as fi ministrul finantelor publice as incuraja firmele mici si mijlocii,prin reducerea unor taxe poate chiar inlaturarea acestora pe o anumita perioada,as acorda mai multe subventii.",Multe taxe si impozite inutile.
Niic. De acum  încolo cred că totul va fi bine,aș amenda facultățile care cer bani studenților dar nu le oferă condiții,de la 1 februarie sistemul fiscal ne va oferi mai multe oportunități
faptul că taxele și impozitele sunt prea mari.,"aș dezvolta un nou sistem, m-aș gândi la modalități de a face viața mai ușoară contribuabililor. 
Probabil pentru început taxe mai mici.
Aș continua cu scutirea de plata impozitelor a persoanelor care chiar merită. (mă voi gândi la anumite criterii).","o nesiguranță. 
de fiecare dată când plătesc un impozit sunt conștientă că acei bani nu se vor mai întoarce în folosul meu niciodată. "
"Lispa de informatii, predictibilitatea,trasparenta, numarul foarte mare a taxelor, numarul mare a platilor aferente , regimul fiscal care descurajeaza investitiile.","Reducerea numarului de taxe si a platilor aferente,incurajarea investitiilor.Promovarea partii eloctronice a sistemului fiscal romanesc:controale fiscale electronice,depunerea declatiilor fiscale si plata electronica a acestora, ( simplu,rapid si eficient). ",-
Nu este transparent si nu avem certitudinea faptului ca banii pe care noi ii platim la stat sunt folositi in scopuri publice,As oferii transparenta cheltuielilor si as scadea toate taxele si impozitele.,"In momentul actual teoretic acesta ofera multe, dar practic lasa de dorit. "
Lipsa transparentei si a informatiilor cu privire la cheltuirea banului public,"In primul rand as schimba regimul impozitelor , in ceea ce priveste impozitarea imobilelor si mobilelor, cu cat numarul acestora ar creste sa creasca in aceiasi masura si cota impozitului asupra bazei impozabile.
","In primul rand prin intermediul sistemului fiscal beneficiem de activitatea serviciilor de aparare, justitie,administrare si alte institutii."
"In momentul de fata tot, deoarece nu imi ofera nici in prezent si nici pe viitor siguranta.","in primul rand tot, deoarece nu exista principii si ar trebui transparenta si multa gandire in realigarea sistemului fiscal.","acum, nimic."
Neexista unei corelatii si a unei continuitati a activitatii acestuia,probabil primul lucru aparate performante si un soft nou,- 
"Nu sunt in masura sa vorbesc despre aceasta tema, aproape ca nici nu-mi pot da cu parerea... dar din cele auzite sistemul fiscal romanesc nu e de buna ""calitate"".",Nu am cunostintele necesare ca sa raspund la aceasta intrebare!,"Intr-un sens abstract sistemul fiscal actual imi ofera ""neincredere"" si ""nesiguranta""."
Evaziunea  fiscală ,Amenzile si modulul de aplicarea ,Nu oferă o dezvoltare afacerilor mici
Taxe mari si facilitati reduse,Reducerea taxelor fiscale si imbunatatirea sistemului privat,Nimic concret!
-,-,Taxe de platit!!!
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte (TVA, accize, taxe vamale etc.), în timp ce, în Uniunea Europeană, contribuțiile celor trei mari categorii de impozite si taxe (impozite directe, indirecte si contribuțiile sociale) la formarea veniturilor sunt relativ apropiate.","Politica fiscală din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate, iar povara administrativă de pe umerii contribuabililor trebuie redusă prin eficientizarea şi informatizarea sistemului de administraţie fiscală pentru a ajunge la un aparat fiscal rapid şi flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii la propulsarea României în topurile internaţionale ale competitivităţii.","Sistemul fiscal actual ofera tot ce omul are nevoie. Si o face foarte bine pe ""hartie"", unde exista reguli peste reguli, beneficii peste beneficii. In realitate chiar dacă ai vrea să scapi de ele, nu ai avea unde să te ascunzi în ziua de astăzi. Probabil că şi în jungla amazoniană există un ochi care-ţi urmăreşte mişcările şi o minte care se gândeşte cum să tragă un folos de pe urma muncii tale. Fireşte, toate aceste datorii pe care le ai doar pentru faptul că ai venit pe lume sunt justificate. Mai precis, cineva se ocupă să-ţi explice că e mai bine aşa. Că este spre binele tău să plăteşti, fiindcă altfel ţi-ar fi mult mai rău. De ce să plăteşti? Păi, în primul rând, pentru ordine socială. Adică pentru instituţiile care se ocupă să te protejeze, atât de duşmanii din afară ai - cum altfel?!? - statului, cât şi de cei dinlăuntrul graniţelor. "
" Sistemul fiscal din Romania are nevoie urgenta de o reforma serioasa, altfel nu vom putea avea pretentia sa ne consideram un stat european.","Reducerea interactiunii  contribuabil – functionar public se poate face numai prin informatizarea totala a sistemelor de raportare fiscala si a cererilor facute catre ANAF, chiar daca asta presupune micsorarea numarului de functionari publici. Dispunem de semnatura electronica extinsa care poate fi folosita pentru a reduce la minim interactiunea la ghiseu, cel putin pentru persoanele juridice.",-
Lipsa de transparenta in ceea ce priveste modul in care se cheltuiesc banii publici de catre stat.,"As depune eforturi mai mari in vederea reducerii incertitudinii pe care o simt cetatenii romani fata de sistemul fiscal si as investi in imbunatatirea calitatii relatiei dintre cetateni si autoritatile fiscale. Oamenii trebuie informati corect si constant asupra a ,, ceea ce platesc ei de fapt,, si asupra ,,ce au ei de castigat din acest lucru,,.
Eu consider faptul ca in prezent exista o lipsa de transparenta, fapt care genereaza neincrederea cetateanului roman in statul roman si nu numai.","In situatia actuala, si avand in vedere schimbarea Guvernului, eu simt o incertitudine in viitorul sistemului fiscal, in timp ce sistemul fiscal actual duce lipsa de transparenta in ceea ce priveste modul in care sunt cheltuiti banii publici, dovada fiind abuzurile politicienilor.
Astfel, pot spune ca sistemul fiscal actual imi ofera un sentiment de incertitudine si teama de o schimbare brusca sau nejustificata, care ar putea dezechilibra mecanismul fiscal."
Îmi creează sentimentul că plătesc un serviciu public de care nu voi beneficia la un moment dat.,"Reducerea taxelor, cresterea salarilor.",Nu foarte multe.
Pentru că din banii mei nu se asigură serviciile publice administrative de care avem nevoie într-un stat democratic.,Reducerea taxelor si a impozitelor.,"Sistemul fiscal actual nu imi ofera multe la momentul actual, dar pe viitor as vrea sa imi ofere scutirea de taxe sau impozite aferentă realizării unor investiții."
-,-,-
Lipsa stabilitatii si a transparentei.,"Birocratia, plata prin intermediul transferului bancar, cu cardul de credit online sigur si eficient. ",Stimuleaza intr-o oarecare masura activitatea agentilor economici.
"Dupa parerea mea, sistemul fiscal ar trebuie sa aiba in vedere faptul ca nu toti au acelasi venit, deci nu toti pot plati aceleasi taxe. Intradevar exista aceste diferentiei ca si sarcina fiscala, doar ca ar trebui restructurata mai in adancime","Intai de toate, daca aceasta tine de ministerul finantelor, as incerca reducerea, chiar achitarea, datoriilor externe.","cred ca ofera mai putin fata de ceea ce ofera un contribuabil, in raport cu partea care este transferata"
Faptul ca banii proveniti din urma impozitelor si taxelor nu sunt cheltuiti cum ar trebui. ,Nu i-as taxa pe cei cu carte de munca in cazul unui accident sau daca au nevoie de analize medicale.,Taxe si impozite
Evaziunea fiscală,Mărimea Impozitelor,nimic
Neprofesionalismul,Nu cred ca ma pricep la domeniu,Nimic
Hotia,Buna intrebare..,O oarecare siguranta.
TVA-ul,Reducerea TVA-ului,Egalitate pentru toți 
Lipsa transparenței ,O mai clară și fără interpretări a legii actuale.,Nimic
Nu am nici o nemultumire ,Nu as schimba nimic ,Un echilibru financiar 
Nu este gândit destul de eficient,Organizarea,Taxe și impozite 
Coruptia,Scaderea impozitelor,Absolut nimic 
-,-,-
-,-,-
Taxele ,Tot,Nimic
Prea multe taxe,Impozitarea salariilor in funcție de venit,Nu prea multe beneficii
.,.,.
Stabilitate,Economia,Bunastare
Nimic,Nimic,Nimic
Multe,Multe,Nimic
Multe taxe care sunt puse doar pentru a castiga satul si putinele facilitati pe care le au oamenii din taxele respective,"As schimba sistemul fiscal in privinta tinerilor , pentru ai ajuta pe ei sa fie ""schimbarea"" ",Prea putin in privita asteptarilor 
Taxe foarte mari,Mai putine taxe,O evidenta clara a obligatiilor
schimbarile mai mult negative pentru populație,M-aș gandi si la o situație favorabila atat pentru populatie cat si pentru economie,Instabilitate
Faptul ca nu asigura in totalitate un echilibru financiar.,As reduce unele taxe si as asigura o mai buna dezvoltare economică.,Asigura buna functionare a economiei si asigura indeplinirea nevoilor sociale ale societatii.
Nimic,Nimic ,Susținerea dezvoltării economice
Dezechilibrul financiar ,As reduce taxele neimportante . ,Asigura nevoile cetatenilor. 
Taxele ,Impozitele ,Bursele
Posibilitatea creșterii și descresterii Tva-ului,Nimic,Imi ofera un serviciu de protectie
Faptul ca trebuie sa platim taxe si unele din ele le platim de doua ori dar in mod indirect.,"As reduce taxele si impozitele, astfel incat sa fie acceptabile pentru toti.",Nimic.
Taxe si impozite mari in concordanta cu salariile pe care le avem.,Taxe si impozite mai mici.,Siguranta
"Faptul ca se schimba prea des, nu este foarte stabil si predictibil.","As stabili o rata moderata de taxe si impizite ca sa nu se mai incurajeze munca ""la negru"".","Bursele studentesti, locurile la fara taxa, gratuitate la transportul feroviar"
Nu exista stabilitate in sistemul fiscal românesc.,As elabora o lege foarte bună și de durată.,No comment
Instabilitatea ,As informa mult mai mult oamenii despre sistemul fiscal,Neincredere
Nu are stabilitate si nu este in topul tarilor la capitolul competitie,"Sa fie mult mai transparent si sa fie mai stabil , sa aiba o anumita autoritate care sa se respecte, ducandu-ne astfel pe un loc mult mai sus. ",taxe si impozite 
Transparenta,Transparenta,Burse sociale care fac pe cetateni sa nu lucreze
Birocrația exagerată ,Simplificarea sistemului fiscal,Servicii publice 
"Se schimbă prea des. Se reduc anumite taxe, dar apar altele și, făcând calcule, putem observa că, la final, avem de plătit taxe și impozite mai mari decât erau înainte de reducere.","Aș încerca să îl fac mai transparent, mai stabil, pentru că un sistem fiscal transparent și stabil încurajează investițiile.","Prea multe nu îmi oferă, pentru că eu plătesc taxe și impozite, dar drumurile sunt cum sunt, sistemul de sănătate e praf, sistemul de învățământ la fel, deci nu îmi oferă prea multe...
Și cu toate că anul 2017 a fost un an extraordinar din punct de vedere economic pentru România, având cea mai mare creștere economică din Uniunea Europeană, conform Eurostat, am reușit să depășim Bulgaria. 1 din 2 români, adică 50% din populație trăiește în sărăcie, pe când în Bulgaria 48% din populație trăiește în sărăcie. Bravo România. ""Aste e, ăștia suntem""."
"Tot.  E foarte multă birocrație, iar dacă dorești sa investești, in loc sa te încurajeze statul, îți pune bete in roate.",Corupția ,Incertitudine 
Nimic,Nimic,Datorită sistemului fiscal avem parte de finanțarea cheltuielilor publice
Modificarile recente,Nu stiu,Siguranta
"Faptul că nu este stabil, se poate rectifica de mai multe ori pe an.",Nu cunosc în detaliu sistemul fiscal românesc pentru a propune modificări.,"Fiind studenți, sistemul fiscal actual ne oferă unele beneficii cum ar fi burse, locuri bugetate, gratuitate la transportul feroviar și unele servicii medicale."
că sunt o prelevare fără contracompensație,Nimic,Nimic
Mă nemulțumește repartizarea bugetului făcut de conducere.,Aș verifica mai bine sistemul ajutoarelor sociale și aș micșora salarile parlamentarilor și guvernanților. ,Motive să părăsesc această țară și să nu mă gândesc la o investiție în țară.
Nu stiu ,Modul de impozitare ,Nu stiu 
"La sistemul fiscal romanesc ma nemultumeste: instabilitatea sistemului, netransparenta sistemului.","As adopta măsuri fiscale care să aducă mai mulţi bani la bugetul de stat fără să crească taxele, prin atragerea investitorilor straini pe teritoriul Romaniei pentru creearea unor noi locuri de munca.","In opinia mea, sistemul fiscal actual imi ofera neincredere si nesiguranta de a trai in Romania in viitor."
Dezechilibrul.,Cresterea eficientei in alocarea fondurilor.,Impozitul pe venitul persoanelor fizice mai mic fata de celelalte state din Europa.
Neutru,Reducerea numarului de taxe in urma careia vor scade costurilor administrative,Neutru
"LIpsa de profesionalitate, neadaptarea la tehnologie ","Transparenta, Aș îmbunătății sistemul tehnologic și aș încuraja investitorii", Posibilitatea de a contribui la bugetul statului pentru realizarea bunăstării cetățeanului 
Taxele,Taxele,Servicii
nu cunosc atât de mulde detalii în cât să mă pot afirma,"valoarea taxelor, impozitelor etc",o datorie față de stat
Nimic,Nimic,Echilibru financiar
impozitele sunt prea mari ,as crea un echilibru ,nimic
Este prea ingaduitor cu entitatile care nu.si platesc impozitele si taxele,As incerca sa reduc birocratia,Nesiguranta economica
Coruptia,"As scadea salariile parlamentarilor, guvernatorilor, as reduce nr acestora. In cazul unei spalari de bani as confisca bunurile pana acopera valoarea respectiva etc",Nesiguranta
Sunt schimbari prea dese in sistem,Sprijinirea intreprinderilor mici si mijlocii autohtone,Finantarea serviciilor publice
Gradul mic de transparenta,As încerca sa construiesc relații de încredere intre stat si cetățeni,Realizează unele obiective economico financiare si sociale
Faptul ca nu se susține dezvoltarea infrastructurii ,"As construi un climat de incredere intre cetățean si stat, astfel incat cetățenii sa aiba idee de ce sunt necesare anumite taxe si impozite, as oferi un mediu cat mai transparent si servicii publice de calitate.",Echilibru financiar la nivelul cheltuielilor bugetare.
"Birocrația excesiva , ajungandu-se astfel la taxe și impozite mul prea mari pentru veniturile populației ","Sistemul fiscal din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate, iar povara administrativă de pe umerii contribuabililor trebuie redusă prin eficientizarea şi informatizarea sistemului de administraţie fiscală pentru a ajunge la un aparat fiscal rapid şi flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii la propulsarea României în topurile internaţionale ale competitivităţii. O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii României, în opinia consultanţilor fiscali.","Sistemul fiscal român fiind format din totalitatea impozitelor plătite de persoanele fizice sau juridice.În opinia mea ne oferă finanțarea unor acțiuni și obiective necesare membrilor societății, acestea fiind formate din plăti către stat 
"
Tot,Tot,Nimic
Nimic,Nimic,Este bun
Transparenta pe care nu o detine si faptul ca ii dezavantajeaza pe tinerii antreprenori si pe cei care vor lucreaza corect si conform legii in aceasta tara. ,"As adauga pasaje in lege prin care tinerii antreprenori sa fie mult mai avantajati spre exemplu sa se reduca anumite taxe si impozite pe o perioada definita de timp pentru a le oferi sansa de a intra pe piata in care vor sa activeze. As crea o transparenta mult mai ridicata si as ajuta poporul roman mult mai mult decat este ajutat in acest momet, prin reducerea TVA-ului si prin reducerea de impozite pe salar.",O bataie de cap care o sa duca la o iesire in strada a poporului roman pentru toate taxele nejustificate pe care trebuie sa le platim.
..,..,..
nu avem un sistem fiscal transparent si nu sprijina destul IMM ,scutirea de taxe si impozite pe o perioada de timp pentru investitorii foarte mari care pot crea locuri de munca si vin cu tehnologii avansate ,cu ultimele schimbari in privinta legii salariale cred ca ofera multa incertitudine
nimic,Scăderea TVA- ului,constituirea fondului național
Dezechilibrul financiar de care dă dovadă,"Aș schimba direcțiile de repartizare a bugetului public în domenii ce ar fi o investiție pe termen lung din care mai apoi să se genereze noi surse de venituri la bugetul statului. Ca urmare, nu ar mai fi nevoie de noi schimbări in codul fiscal din cauza că veniturile nu acoperă cheltuelile.",Sistemul fiscal actual ne oferă un buget public foarte slab din cauza că majoritatea populației din România preferă să emigreze spre alte țări din Europa unde au un salariu mult mai mare și reușesc să scape de plata impozitelor (evaziune fiscală)  din cauza lipsei de gestionare a schimbului de informații intre state privind contribuabilii și beneficiarii economici.
"Mult prea usor se poate evita plata impozitelor .. spre exemplu majoritatea agenților economici fraudează statul român . Probabil ar fi mult mai bine daca in primii 3-5 ani de la înființare ar fi obligați sa plătească mai putin , iar mai apoi sa crească valoarea impozabilă. ","As implementa o strategie modernă pe termen mediu si lung pentru atragerea de noi investiții si crearea a noi locuri de munca, astfel ar creste veniturile la bugetul statului.","Personal , primesc bursă de studiu , învățământ universitar gratuit , transport feroviar gratuit , etc. "
Taxe si impozite foarte mari,Cred ca ar fi multe de schimbat,Plătim impozite de care vom beneficia cândva 
Nimic nu ma nemultumeste.,Nimic.,"Invatamant, cultura, sanatate, etc"
Taxele foarte mari,Modul de organizare,Nesiguranta
Birocratia,Aș încerca să iau exemplu statele dezvoltate din UE și să încerc să aplic anumite aspecte și în sistemul fiscal românesc pentru a ușura și stimula munca.,Datorită schimbărilor multiple îmi oferă nesiguranță 
Sistemul fiscal românesc este netransparentă.,La sistemul fiscal românesc ar trebui scădere contribuției ai întreprinderi mici și mijlocii.,Pentru că sistemul fiscal actual este complex și dificil vis a vis cu alte țări. 
